Student Number,Person ID
1134394,132868
1133081,131498
1133050,131464
1132844,131251
1132229,130599
1132228,130598
1130864,129203
1130848,129187
1130561,128912
1130439,128792
1130125,128487
1130037,128403
1129948,128315
1129941,128308
1129699,128070
1129606,127980
1128678,127060
1128237,126605
1127685,126040
1127672,126026
1125969,124295
1125536,123859
1125526,123849
1125375,123696
1125131,123446
1124880,123193
1124706,123023
1123762,122067
1123171,121463
1122760,121040
1122748,121027
1122477,120743
1122382,120643
1122358,120617
1122194,120446
1122035,120281
1121972,120216
1121807,120041
1121688,119915
1121576,119795
1121123,119313
1121010,119198
1120260,118419
1120247,118405
1120208,118364
1119662,117793
1119104,117221
1119052,117168
1118027,116125
1118015,116112
1115820,113830
1113360,111260
1113166,111061
1113164,111059
1112965,110854
1112391,110255
1111296,109119
1109619,107412
1109439,107242
1108518,106283
1100327,98109
1098814,96524
1098509,96199
1096424,94062
1096206,93853
1096097,93745
1095708,93369
1095242,92922
1095057,92742
1093915,91657
1093838,91591
1093416,91180
1093414,91178
1093312,91078
1093226,90996
1093124,90899
1092877,90656
1092745,90518
1092479,90240
1092393,90151
1091801,89532
1091183,88941
1090578,88329
1090226,87995
1089992,87762
1089891,87663
1089428,87216
1089200,87008
1089026,86838
1088707,86527
1088358,86178
1088144,85953
1087803,85604
1087549,85339
1087051,84822
1087023,84795
1086890,84662
1086819,84592
1086787,84561
1086336,84140
1085690,83523
1085669,83502
1085376,83214
1084714,82557
1084307,82141
1084018,81834
1083666,81465
1083369,81158
1083329,81116
1082677,80452
1082076,79875
1081649,79463
1081216,79044
1081206,79035
1081203,79033
1080993,78833
1080885,78730
1080812,78656
1080800,78644
1080271,78099
1080240,78069
1080049,77878
1079779,77597
1079264,77078
1079243,77055
1079133,76943
1078961,76768
1078733,76538
1078528,76332
1078437,76242
1078412,76216
1078389,76193
1078383,76187
1078333,76135
1077949,75741
1077698,75486
1077435,75216
1077264,75039
1077119,74888
1076696,74460
1076510,74269
1076261,74024
1076186,73948
1076124,73885
1076118,73880
1076080,73843
1075972,73736
1075850,73609
1075832,73590
1075744,73505
1075486,73243
1075356,73111
1075303,73061
1074987,72744
1074979,72736
1074974,72731
1074949,72705
1074893,72648
1074858,72617
1074721,72482
1074627,72388
1074570,72331
1074502,72266
1074487,72250
1074413,72175
1074314,72076
1074240,72001
1073932,71685
1073930,71683
1073895,71648
1073883,71635
1073834,71589
1073811,71566
1073549,71302
1073283,71032
1073241,70990
1073159,70904
1073110,70855
1072529,70256
1071804,69564
1071766,69527
1071599,69373
1071407,69188
1071389,69172
1071322,69105
1071314,69097
1071312,69095
1070930,68732
1070846,68657
1070808,68621
1070804,68617
1070448,68277
1069818,67633
1069802,67617
1069783,67597
1069724,67536
1069705,67516
1069526,67331
1069102,66894
1068910,66696
1068680,66460
1068388,66162
1068286,66061
1068038,65808
1067634,65408
1067273,65044
1067262,65032
1066518,64268
1066417,64167
1066412,64162
1066348,64100
1066000,63770
1065875,63655
1065697,63483
1065683,63470
1065630,63418
1065547,63339
1065508,63301
1065455,63252
1065302,63106
1065238,63046
1065171,62983
1065164,62977
1065104,62917
1064934,62754
1064885,62706
1064853,62678
1064784,62612
1064739,62569
1064737,62567
1064614,62448
1064523,62361
1064443,62285
1064337,62177
1064026,61862
1063843,61678
1063496,61332
1063476,61311
1063373,61207
1063359,61192
1063324,61158
1062619,60455
1062207,60058
1062206,60057
1061922,59784
1061759,59631
1061681,59557
1061607,59486
1061549,59430
1061240,59137
1061210,59108
1060998,58901
1060995,58898
1060951,58855
1060751,58667
1060703,58621
1060469,58400
1060429,58358
1060403,58331
1060372,58301
1060187,58118
1060094,58026
1060087,58018
1060059,57990
1059903,57835
1059875,57807
1059874,57806
1059834,57769
1059822,57756
1059742,57679
1059640,57578
1059486,57429
1059403,57344
1059307,57252
1059253,57198
1059226,57169
1058969,56929
1058746,56713
